frequency/GHz;epsilon_r';epsilon_r'';n;alpha
96.1;2.1466967934;0.0097223075;1.4651647693;0.1335564569
96.125;2.1467192292;0.0096718301;1.4651723868;0.1328969152
96.15;2.1467426087;0.009623068;1.4651803278;0.1322605662
96.175;2.1467668064;0.0095760549;1.4651885494;0.1316478958
96.2;2.1467916966;0.0095308182;1.4651970088;0.1310593005
96.225;2.1468171534;0.0094873783;1.4652056631;0.130495087
96.25;2.1468430514;0.0094457494;1.4652144694;0.1299554722
96.275;2.1468692658;0.0094059391;1.4652233851;0.1294405842
96.3;2.146895673;0.0093679487;1.465232368;0.1289504621
96.325;2.1469221507;0.009331773;1.4652413764;0.1284850575
96.35;2.1469485785;0.0092974005;1.4652503691;0.1280442354
96.375;2.1469748378;0.0092648136;1.4652593057;0.1276277758
96.4;2.1470008128;0.0092339886;1.4652681465;0.1272353748
96.425;2.1470263902;0.0092048961;1.4652768531;0.1268666472
96.45;2.1470514599;0.0091775007;1.4652853876;0.126521128
96.475;2.1470759153;0.0091517617;1.4652937137;0.1261982751
96.5;2.1470996531;0.0091276328;1.4653017961;0.1258974713
96.525;2.1471225742;0.0091050627;1.465309601;0.1256180277
96.55;2.1471445837;0.009083995;1.465317096;0.1253591859
96.575;2.1471655912;0.0090643688;1.46532425;0.1251201218
96.6;2.1471855107;0.0090461184;1.4653310338;0.1248999483
96.625;2.1472042615;0.0090291741;1.4653374197;0.1246977189
96.65;2.1472217678;0.0090134624;1.4653433819;0.1245124317
96.675;2.1472379591;0.0089989057;1.4653488962;0.1243430323
96.7;2.1472527706;0.0089854234;1.4653539404;0.1241884186
96.725;2.1472661429;0.0089729316;1.4653584943;0.1240474442
96.75;2.1472780225;0.0089613435;1.4653625395;0.1239189226
96.775;2.1472883618;0.0089505702;1.4653660597;0.1238016316
96.8;2.1472971193;0.0089405202;1.4653690407;0.1236943174
96.825;2.1473042594;0.0089311004;1.4653714703;0.123595699
96.85;2.1473097528;0.008922216;1.4653733384;0.1235044728
96.875;2.1473135764;0.0089137711;1.465374637;0.1234193166
